label,sentence
piz,he highlighted this ambiguity in both weevil in logan elaborating that logan attacking <blank_token> showed an interesting side to his personality that had not been present all season
piz,because logan thinks <blank_token> posted the tape he attacks piz and hits him incessantly
piz,in addition keith enrico colantoni and <unk> ken marino debate on <blank_token> 's radio show about the upcoming sheriff 's election in which they are running against each other
storm,throughout the course of the day <unk> continued to strengthen as it accelerated northeast and peaked in strength with a barometric pressure of N mbar hpa N N inhg and maximum sustained winds of N km h N mph making it a severe tropical <blank_token>
storm,an eastward moving trough turned the <blank_token> to the northeast bringing the track over okinawa and <unk> <unk> on september N
storm,on grand <unk> where a N to N ft N N to N N m <blank_token> surge was reported half of the houses were destroyed as were N boats and two planes and most docks were wrecked
scott,<unk> starred as <blank_token> in the play herons written by simon stephens which was performed in N at the royal court theatre
scott,gleason and <blank_token> were each nominated for best supporting actor and scott was also nominated as best new star of the year
scott,gleason and <blank_token> were each nominated for best supporting actor and scott was also nominated as best new star of the year
real,i ve got the <blank_token> championship belt
real,when lester <unk> about angela in a rose <unk> bath the steam was <blank_token> save for in the overhead shot
real,he is <unk> married to carolyn a neurotic yet fiercely ambitious <blank_token> estate <unk> their <unk> daughter jane <unk> her parents and has low self esteem
coast,on july N pagasa classified a system as tropical depression falcon off the west <blank_token> of the philippines
coast,this is the only known example outside of the <unk> <unk> on the gulf <blank_token> of mexico
coast,during the second <unk> japanese war the sisters frequently patrolled the chinese <blank_token> in support of the blockade imposed by japan
coast,on the east <blank_token> three more north korean divisions were repulsed by the south koreans at p ohang dong during the battle of p ohang dong
